INVESTIMENT,GROUP,COMPANY,CURRENT VALUE (R$),DIVIDEND YIELD %,DATE COM,DATE OF PAYMENT,VALUE OF PAYMENT (R$),DATE/TIME
KLBN3,BASIC MATERIALS,KLBN3 - KLABIN,"4,75","5,89",04/08/2023,15/08/2023,"0,04875600",2023-10-09 23:11:43
ALUP11,PUBLIC UTILITY,ALUP11 - ALUPAR,"28,70","5,85",16/08/2023,05/10/2023,"0,12000000",2023-10-09 23:11:44
IRDM11,REAL ESTATE FUNDS,IRDM11 - Iridium Recebíveis Imobiliários,"79,67","12,84",12/09/2023,19/09/2023,"0,73975331",2023-10-09 23:11:45
PSSA3,FINANCIAL,PSSA3 - PORTO SEGURO,"26,53","3,65",28/09/2023,-,"0,29169002",2023-10-09 23:11:46
HSML11,REAL ESTATE FUNDS,HSML11 - HSI MALL FDO INV IMOB,"91,58","9,48",29/09/2023,06/10/2023,"0,74000000",2023-10-09 23:11:47
VIVT3,COMMUNICATION,VIVT3 - TELEFÔNICA BRASIL,"45,57","5,45",22/09/2023,30/04/2024,"0,12073238",2023-10-09 23:11:48
AGRO3,NON-CYCLICAL CONSUMPTION,AGRO3 - BRASILAGRO,"28,56","11,34",27/10/2022,16/11/2022,"3,23867279",2023-10-09 23:11:49
SANB3,FINANCIAL,SANB3 - BANCO SANTANDER,"13,00","6,31",20/07/2023,16/08/2023,"0,19206934",2023-10-09 23:11:50
AESB3,PUBLIC UTILITY,AESB3 - AES BRASIL ENERGIA S.A.,"10,60",-,09/08/2022,30/09/2022,"0,10745060",2023-10-09 23:11:50
ENBR3,PUBLIC UTILITY,ENBR3 - EDP Brasil,"24,08","5,90",11/04/2023,24/05/2023,"0,26936695",2023-10-09 23:11:51
VGHF11,REAL ESTATE FUNDS,VGHF11 - VALORA HEDGE FUND,"9,52","13,34",29/09/2023,06/10/2023,"0,10000000",2023-10-09 23:11:52
CPRE3,PUBLIC UTILITY,CPRE3 - CPFL ENERGIAS RENOVÁVEIS,"18,23",-,26/04/2018,25/06/2018,"0,00720070",2023-10-09 23:11:53
CSMG3,PUBLIC UTILITY,CSMG3 - COPASA,"17,17","9,72",21/09/2023,14/11/2023,"0,33607033",2023-10-09 23:11:54
CBAV3,BASIC MATERIALS,CBAV3 - Companhia Brasileira de Alumínio,"4,23","10,42",27/04/2023,31/12/2023,"0,34580615",2023-10-09 23:11:55
